2026-07-02 13:37:41 | INFO     | ETL | Started: extract_sales
2026-07-02 13:37:41 | INFO     | ETL | Extracting sales data from: C:\Users\SomayaAbdelhakim\OneDrive - Orion360\Data Analytics Task\Sales Task\Inputs\Sales.json
2026-07-02 13:37:47 | INFO     | ETL | Extracted 298246 sales records | columns: ['ProductKey', 'Product Name', 'Brand', 'Color', 'Subcategory', 'Category', 'CustomerKey', 'Customer Code', 'Name', 'Education', 'Occupation', 'Continent', 'City', 'State', 'CountryRegion', 'OrderDate', 'Quantity', 'Net Price']
2026-07-02 13:37:47 | INFO     | ETL | Finished: extract_sales (5.14 sec)
2026-07-02 13:37:47 | INFO     | ETL | Started: extract_forecast
2026-07-02 13:37:47 | INFO     | ETL | Extracting forecast data from: C:\Users\SomayaAbdelhakim\OneDrive - Orion360\Data Analytics Task\Sales Task\Inputs\forecast.json
2026-07-02 13:37:47 | INFO     | ETL | ✓ Extracted 33 forecast records | columns: ['CountryRegion', 'Brand', 'Forecast', 'Year']
2026-07-02 13:37:47 | INFO     | ETL | Finished: extract_forecast (0.03 sec)
2026-07-02 13:37:47 | INFO     | ETL | Started: validate_sales
2026-07-02 13:37:47 | INFO     | ETL | Validating Sales dataset...
2026-07-02 13:37:47 | WARNING  | ETL | Sales contains 289378 duplicate rows.
2026-07-02 13:37:47 | INFO     | ETL | Sales validation completed.
2026-07-02 13:37:47 | INFO     | ETL | Finished: validate_sales (0.02 sec)
2026-07-02 13:37:47 | INFO     | ETL | Started: validate_forecast
2026-07-02 13:37:47 | INFO     | ETL | Validating Forecast dataset...
2026-07-02 13:37:47 | WARNING  | ETL | Forecast contains 22 duplicate rows.
2026-07-02 13:37:47 | INFO     | ETL | Forecast validation completed.
2026-07-02 13:37:47 | INFO     | ETL | Finished: validate_forecast (0.01 sec)
2026-07-02 13:37:47 | INFO     | ETL | Started: transform_sales
2026-07-02 13:37:47 | INFO     | ETL | Transforming Sales data...
2026-07-02 13:37:49 | WARNING  | ETL | Removed 218008 duplicate rows.
2026-07-02 13:37:50 | INFO     | ETL |   Color extracted from Product Name: 70632 product(s) updated | 9606 product(s) have no color in name → set to 'N/A'.
2026-07-02 13:37:50 | INFO     | ETL | Sales transformation completed.
2026-07-02 13:37:50 | INFO     | ETL | Finished: transform_sales (3.30 sec)
2026-07-02 13:37:50 | INFO     | ETL | Started: transform_forecast
2026-07-02 13:37:50 | INFO     | ETL | Transforming Forecast data...
2026-07-02 13:37:50 | INFO     | ETL | Forecast transformation completed.
2026-07-02 13:37:50 | INFO     | ETL | Finished: transform_forecast (0.01 sec)
2026-07-02 13:37:50 | INFO     | ETL | Building dimension tables...
2026-07-02 13:37:50 | INFO     | ETL | Started: _build_dim_product
2026-07-02 13:37:50 | INFO     | ETL |   DIM_Product   : 2495 rows
2026-07-02 13:37:50 | INFO     | ETL | Finished: _build_dim_product (0.15 sec)
2026-07-02 13:37:50 | INFO     | ETL | Started: _build_dim_customer
2026-07-02 13:37:50 | INFO     | ETL |   DIM_Customer  : 8868 rows
2026-07-02 13:37:50 | INFO     | ETL | Finished: _build_dim_customer (0.21 sec)
2026-07-02 13:37:50 | INFO     | ETL | Started: _build_dim_date
2026-07-02 13:37:50 | INFO     | ETL | Finished: _build_dim_date (0.01 sec)
2026-07-02 13:37:50 | INFO     | ETL | Started: _build_dim_geography
2026-07-02 13:37:51 | INFO     | ETL |   DIM_Geography : 306 rows
2026-07-02 13:37:51 | INFO     | ETL | Finished: _build_dim_geography (0.13 sec)
2026-07-02 13:37:51 | INFO     | ETL | Started: _build_dim_brand
2026-07-02 13:37:51 | INFO     | ETL |   DIM_Brand     : 11 rows
2026-07-02 13:37:51 | INFO     | ETL | Finished: _build_dim_brand (0.03 sec)
