ProductKey,Product Name,Subcategory,Category,Brand,Color
1,Contoso 512MB MP3 Player E51,MP4&MP3,Audio,Contoso,Silver
2,Contoso 512MB MP3 Player E51,MP4&MP3,Audio,Contoso,Blue
3,Contoso 1G MP3 Player E100,MP4&MP3,Audio,Contoso,White
4,Contoso 2G MP3 Player E200,MP4&MP3,Audio,Contoso,Silver
5,Contoso 2G MP3 Player E200,MP4&MP3,Audio,Contoso,Red
6,Contoso 2G MP3 Player E200,MP4&MP3,Audio,Contoso,Black
7,Contoso 2G MP3 Player E200,MP4&MP3,Audio,Contoso,Blue
8,Contoso 4G MP3 Player E400,MP4&MP3,Audio,Contoso,Silver
9,Contoso 4G MP3 Player E400,MP4&MP3,Audio,Contoso,Black
10,Contoso 4G MP3 Player E400,MP4&MP3,Audio,Contoso,Green
11,Contoso 4G MP3 Player E400,MP4&MP3,Audio,Contoso,Orange
12,Contoso 4GB Flash MP3 Player E401,MP4&MP3,Audio,Contoso,Blue
13,Contoso 4GB Flash MP3 Player E401,MP4&MP3,Audio,Contoso,Black
14,Contoso 4GB Flash MP3 Player E401,MP4&MP3,Audio,Contoso,Silver
15,Contoso 4GB Flash MP3 Player E401,MP4&MP3,Audio,Contoso,White
16,Contoso 8GB Super-Slim MP3/Video Player M800,MP4&MP3,Audio,Contoso,White
17,Contoso 8GB Super-Slim MP3/Video Player M800,MP4&MP3,Audio,Contoso,Red
18,Contoso 8GB Super-Slim MP3/Video Player M800,MP4&MP3,Audio,Contoso,Green
19,Contoso 8GB Super-Slim MP3/Video Player M800,MP4&MP3,Audio,Contoso,Pink
20,Contoso 8GB MP3 Player new model M820,MP4&MP3,Audio,Contoso,Black
21,Contoso 8GB MP3 Player new model M820,MP4&MP3,Audio,Contoso,Blue
22,Contoso 8GB MP3 Player new model M820,MP4&MP3,Audio,Contoso,Yellow
23,Contoso 8GB MP3 Player new model M820,MP4&MP3,Audio,Contoso,White
24,Contoso 16GB Mp5 Player M1600,MP4&MP3,Audio,Contoso,Blue
25,Contoso 16GB Mp5 Player M1600,MP4&MP3,Audio,Contoso,Black
26,Contoso 16GB Mp5 Player M1600,MP4&MP3,Audio,Contoso,Green
27,Contoso 16GB Mp5 Player M1600,MP4&MP3,Audio,Contoso,White
28,Contoso 16GB Mp5 Player M1600,MP4&MP3,Audio,Contoso,Red
29,Contoso 32GB Video MP3 Player M3200,MP4&MP3,Audio,Contoso,White
30,Contoso 32GB Video MP3 Player M3200,MP4&MP3,Audio,Contoso,Red
31,Contoso 32GB Video MP3 Player M3200,MP4&MP3,Audio,Contoso,Orange
32,Contoso 32GB Video MP3 Player M3200,MP4&MP3,Audio,Contoso,Pink
33,Contoso 32GB Video MP3 Player M3200,MP4&MP3,Audio,Contoso,Black
34,Contoso 4GB Portable MP3 Player M450,MP4&MP3,Audio,Contoso,Black
35,Contoso 4GB Portable MP3 Player M450,MP4&MP3,Audio,Contoso,White
36,Contoso 4GB Portable MP3 Player M450,MP4&MP3,Audio,Contoso,Yellow
37,Contoso 8GB Clock & Radio MP3 Player X850,MP4&MP3,Audio,Contoso,Silver
38,Contoso 8GB Clock & Radio MP3 Player X850,MP4&MP3,Audio,Contoso,Black
39,Contoso 8GB Clock & Radio MP3 Player X850,MP4&MP3,Audio,Contoso,Green
40,Contoso 8GB Clock & Radio MP3 Player X850,MP4&MP3,Audio,Contoso,Blue
41,Contoso 16GB New Generation MP5 Player M1650,MP4&MP3,Audio,Contoso,Silver
42,Contoso 16GB New Generation MP5 Player M1650,MP4&MP3,Audio,Contoso,White
43,Contoso 16GB New Generation MP5 Player M1650,MP4&MP3,Audio,Contoso,Black
44,Contoso 16GB New Generation MP5 Player M1650,MP4&MP3,Audio,Contoso,Blue
45,Contoso 16GB New Generation MP5 Player M1650,MP4&MP3,Audio,Contoso,Pink
46,WWI 1GB Pulse Smart pen E50,Recording Pen,Audio,Wide World Importers,White
47,WWI 1GBPulse Smart pen E50,Recording Pen,Audio,Wide World Importers,Black
48,WWI 1GB Pulse Smart pen E50,Recording Pen,Audio,Wide World Importers,Silver
49,WWI 2GB Pulse Smart pen M100,Recording Pen,Audio,Wide World Importers,White
50,WWI 2GB Pulse Smart pen M100,Recording Pen,Audio,Wide World Importers,Black
