DateKey,Date,Year,Month,MonthName,Quarter,DayOfWeek,DayOfMonth,WeekOfYear,IsWeekend
1,2008-01-01,2008,1,January,1,Tuesday,1,1,False
2,2008-01-02,2008,1,January,1,Wednesday,2,1,False
3,2008-01-03,2008,1,January,1,Thursday,3,1,False
4,2008-01-04,2008,1,January,1,Friday,4,1,True
5,2008-01-05,2008,1,January,1,Saturday,5,1,True
6,2008-01-06,2008,1,January,1,Sunday,6,1,False
7,2008-01-07,2008,1,January,1,Monday,7,2,False
8,2008-01-08,2008,1,January,1,Tuesday,8,2,False
9,2008-01-09,2008,1,January,1,Wednesday,9,2,False
10,2008-01-10,2008,1,January,1,Thursday,10,2,False
11,2008-01-11,2008,1,January,1,Friday,11,2,True
12,2008-01-12,2008,1,January,1,Saturday,12,2,True
13,2008-01-13,2008,1,January,1,Sunday,13,2,False
14,2008-01-14,2008,1,January,1,Monday,14,3,False
15,2008-01-15,2008,1,January,1,Tuesday,15,3,False
16,2008-01-16,2008,1,January,1,Wednesday,16,3,False
17,2008-01-17,2008,1,January,1,Thursday,17,3,False
18,2008-01-18,2008,1,January,1,Friday,18,3,True
19,2008-01-19,2008,1,January,1,Saturday,19,3,True
20,2008-01-20,2008,1,January,1,Sunday,20,3,False
21,2008-01-21,2008,1,January,1,Monday,21,4,False
22,2008-01-22,2008,1,January,1,Tuesday,22,4,False
23,2008-01-23,2008,1,January,1,Wednesday,23,4,False
24,2008-01-24,2008,1,January,1,Thursday,24,4,False
25,2008-01-25,2008,1,January,1,Friday,25,4,True
26,2008-01-26,2008,1,January,1,Saturday,26,4,True
27,2008-01-27,2008,1,January,1,Sunday,27,4,False
28,2008-01-28,2008,1,January,1,Monday,28,5,False
29,2008-01-29,2008,1,January,1,Tuesday,29,5,False
30,2008-01-30,2008,1,January,1,Wednesday,30,5,False
31,2008-01-31,2008,1,January,1,Thursday,31,5,False
32,2008-02-01,2008,2,February,1,Friday,1,5,True
33,2008-02-02,2008,2,February,1,Saturday,2,5,True
34,2008-02-03,2008,2,February,1,Sunday,3,5,False
35,2008-02-04,2008,2,February,1,Monday,4,6,False
36,2008-02-05,2008,2,February,1,Tuesday,5,6,False
37,2008-02-06,2008,2,February,1,Wednesday,6,6,False
38,2008-02-07,2008,2,February,1,Thursday,7,6,False
39,2008-02-08,2008,2,February,1,Friday,8,6,True
40,2008-02-09,2008,2,February,1,Saturday,9,6,True
41,2008-02-10,2008,2,February,1,Sunday,10,6,False
42,2008-02-11,2008,2,February,1,Monday,11,7,False
43,2008-02-12,2008,2,February,1,Tuesday,12,7,False
44,2008-02-13,2008,2,February,1,Wednesday,13,7,False
45,2008-02-14,2008,2,February,1,Thursday,14,7,False
46,2008-02-15,2008,2,February,1,Friday,15,7,True
47,2008-02-16,2008,2,February,1,Saturday,16,7,True
48,2008-02-17,2008,2,February,1,Sunday,17,7,False
49,2008-02-18,2008,2,February,1,Monday,18,8,False
50,2008-02-19,2008,2,February,1,Tuesday,19,8,False
51,2008-02-20,2008,2,February,1,Wednesday,20,8,False
52,2008-02-21,2008,2,February,1,Thursday,21,8,False
53,2008-02-22,2008,2,February,1,Friday,22,8,True
54,2008-02-23,2008,2,February,1,Saturday,23,8,True
55,2008-02-24,2008,2,February,1,Sunday,24,8,False
56,2008-02-25,2008,2,February,1,Monday,25,9,False
57,2008-02-26,2008,2,February,1,Tuesday,26,9,False
58,2008-02-27,2008,2,February,1,Wednesday,27,9,False
59,2008-02-28,2008,2,February,1,Thursday,28,9,False
60,2008-02-29,2008,2,February,1,Friday,29,9,True
61,2008-03-01,2008,3,March,1,Saturday,1,9,True
62,2008-03-02,2008,3,March,1,Sunday,2,9,False
63,2008-03-03,2008,3,March,1,Monday,3,10,False
64,2008-03-04,2008,3,March,1,Tuesday,4,10,False
65,2008-03-05,2008,3,March,1,Wednesday,5,10,False
66,2008-03-06,2008,3,March,1,Thursday,6,10,False
67,2008-03-07,2008,3,March,1,Friday,7,10,True
68,2008-03-08,2008,3,March,1,Saturday,8,10,True
69,2008-03-09,2008,3,March,1,Sunday,9,10,False
70,2008-03-10,2008,3,March,1,Monday,10,11,False
71,2008-03-11,2008,3,March,1,Tuesday,11,11,False
72,2008-03-12,2008,3,March,1,Wednesday,12,11,False
73,2008-03-13,2008,3,March,1,Thursday,13,11,False
74,2008-03-14,2008,3,March,1,Friday,14,11,True
